Duracion_min;Tr_2.0;Tr_5.0;Tr_10.0;Tr_20.0;Tr_50.0;Tr_100.0;Tr_200.0;Tr_500.0
240;11,030286811236644;14,29256675119627;16,900432179496253;19,13208841658569;21,63284301197445;23,972790552697006;25,79762065460667;29,30240878776448
245;10,830998832385367;14,030618944988717;16,595126935107974;18,786476856417437;21,245585348699752;23,547403441479776;25,335803441596262;28,777702942205924
250;10,639229799350494;13,778620306766234;16,30133985439342;18,453903937323645;20,872876196023878;23,137932582555162;24,891335869822118;28,272711913224796
255;10,454553997212052;13,536005086818543;16,018418816963298;18,133631459905963;20,51389410630318;22,743481652190823;24,463238329624698;27,786322453223452
260;10,276577546715597;13,302249977803163;15,7457604676337;17,824976426615592;20,167878936392974;22,363221090582112;24,05060431959724;27,317504401380944
265;10,104935467167317;13,076870189264982;15,482805717534735;17,527305949063322;19,834126200843688;21,99638196148318;23,652593712518417;26,865303030082853
270;9,939289059729422;12,859415951258205;15,229035735980792;17,240032710863773;19,51198204028014;21,642250479959532;23,268426754919414;26,428832225193048
275;9,779323570968497;12,649469393208811;14,983968371609311;16,96261091640488;19,200838727965348;21,300163124725646;22,897378708461037;26,007268395796906
280;9,624746102168018;12,446641751758401;14,747154949961747;16,694532665744198;18,900130648391933;20,969502263282692;22,538775054225514;25,599845023741818
285;9,475283734691613;12,25057086774524;14,518177401994812;16,435324704113388;18,609330690895835;20,64969222799248;22,191987191941443;25,205847775705923
290;9,33068184572691;12,060918937908307;14,296645684203027;16,184545501522486;18,327947009036336;20,340195789625977;21,856428575401836;24,824610111030367
295;9,19070259217365;11,877370491510648;14,082195456293105;15,941782623909356;18,055520103069046;20,040510982062674;21,53155123318523;24,455509327473116
300;9,055123543364557;11,699630566004476;13,874485986830605;15,706650362350612;17,79162018844588;19,750168237898766;21,216842630477032;24,097962994643176
305;8,923736445805861;11,527423059213442;13,673198261106123;15,478787591182464;17,535844818066888;19,468727799918547;20,911822833501354;23,751425731368055
